Name;IPS10   ;IPS11   ;IPS299  ;IPS12   ;IPS13   ;IPS18   ;IPS25   ;IPS32   ;IPS34   ;IPS38   ;IPS43   ;IPS307  ;IPS306  ;PMP     ;UTL11   ;CES275  ;CES277  ;CES278  ;CES275R  ;CES277R  ;CES278 R ;CES002  ;CES003  ;CES006  ;CES011  ;CES015  ;CES017  ;CES033  ;CES046  ;CES048  ;CES049  ;CES053  ;CES088  ;CES140  ;LHEL    ;LHELX   ;LHEM    ;LHNAG   ;LHUR    ;LHU680  ;LHU5    ;LHU14   ;LHU15   ;LHU26   ;LHU27   ;CES151  ;CES155  ;HSBR    ;HSFR    ;HSNE    ;HSMW    ;HSSOU   ;HSWST   ;FYFF    ;FYGM3   ;FYGM6   ;FYGT1   ;FYGT5   ;FYGT10  ;FYAAAC  ;FYBAAC  ;Sfygm6;Sfygt1;Sfygt10;sFYAAAC  ;sFYBAAC  ;FM1     ;MZMSL;FM2;FMFBA   ;FMRRA   ;FMRNBA  ;BUSLOANS;CCINRV  ;PI071   ;PI072   ;PI073   ;PI074   ;CPIAUCSL;CPILFESL;PCEPILFE;PWFSA   ;PWFCSA  ;PWIMSA  ;PWCMSA  ;PWCMSAR ;PSCCOM  ;PSCCOMR ;PW561   ;PW561R   ;PMCP    ;EXRUS   ;EXRSW   ;EXRJAN  ;EXRUK   ;EXRCAN  ;FSPCOM  ;FSPIN   ;FSDXP   ;FSPXE   ;FSDJ    ;HHSNTN  ;PMI     ;PMNO    ;PMDEL   ;PMNV    ;MOCMQ   ;MSONDQ  
9\1\1970;41,7721;40,2742;39,6154;48,6646;32,6703;56,7978;21,5995;42,8072;26,0569;57,7988;37,7305;47,8019;66,6079;45,1;78,3032;3,57;4,82;3,29;13,3878347;18,07545189;12,33780845;58208;21988;610,9;3618;17692;10657;7035;48961;14173;3422;7478,9;3548;12741;56;0,932;78498;75047;5,4;8,9;2235;1448;788;507;281;39,2;2,7;1426;1534;229;274;667;364;6,29;6,12;6,46;6,73;7,29;7,39;8,09;9,39;0,34;0,61;1,27;0,7;2;211,8;466,9;611,2;64087;14447;13847;110,8;126164,2;26,666;50,333;29,669;21,389;39,200;41,300;27,502;39,6;39,4;35,6;35,5;129,0815213;112;407,2431096;14,3;51,99621846;70,6;108,55;4,306818;357,9739;238,53;1,016033;82,58;90,66;3,82;15,44;759,0601;74,2;44,1;44,2;46,5;47,2;73,132;17,062
10\1\1970;40,9365;39,6415;38,8872;48,0659;30,7147;57,1414;20,8928;41,6772;24,5974;58,0198;36,8874;48,5961;65,9297;44,1;76,3181;3,57;4,86;3,26;13,32139259;18,13500504;12,16463301;57726;21477;611,4;3626;17173;10171;7002;49042;14179;3422,1;7495,7;3556;12793;53;0,856;78685;75348;5,5;8,7;2386;1470;771;512;259;39,2;2,7;1564;1580;242;321;641;377;6,2;5,91;6,21;6,43;7,12;7,33;8,03;9,33;0,3;0,52;1,42;0,7;2;212,9;469,9;616,4;64303;14480;14017;110,9;126277,1;26,799;50,697;29,786;21,502;39,400;41,500;27,640;39,6;39,3;35,8;35,5;128,4370478;110,9;401,2301013;14,3;51,7366136;67,8;108,67;4,330879;357,8074;238,74;1,021555;84,37;92,85;3,74;15,48;763,72;72,8;42,4;44,7;39;45,7;69,112;16,159
11\1\1970;40,6886;39,4021;38,6344;47,745;30,8148;56,5598;20,7767;41,4278;24,2114;57,7418;36,6619;46,6823;66,839;38,5;75,6193;3,58;4,9;3,26;13,30607694;18,21222821;12,11670693;57579;21345;612;3643;17024;10044;6980;49064;14153;3418,7;7466,6;3568;12830;53;0,802;78650;75278;5,9;9,3;2338;1713;871;539;332;39,2;2,6;1502;1647;247;346;725;329;5,6;5,28;5,42;5,51;6,47;6,84;8,05;9,38;0,14;0,23;1,56;1,21;2,54;213,7;472,4;621,1;64574;14470;14055;110,9;125892,5;26,905;51,086;29,837;21,61;39,600;41,800;27,784;39,8;39,5;35,9;35,1;126,3317017;109,2;393,0319608;14,3;51,46847106;68,1;108,59;4,318722;357,705;239,03;1,020262;84,28;92,58;3,72;15,44;769,27;71,3;39,7;43,3;37,8;46,3;68,954;17,144
12\1\1970;41,623;40,3182;39,7371;49,8021;34,4008;57,4914;21,0419;42,3653;25,5418;57,5398;37,6278;47,1358;67,9032;46,8;77,3746;3,63;4,89;3,32;13,4315104;18,09368756;12,28446681;57945;21673;611,2;3688;17309;10336;6973;49117;14150;3417,5;7514;3579;12845;53;0,774;78594;75214;6,1;9,8;2369;1586;1102;719;383;39,4;2,5;1767;1893;240;377;863;413;4,9;4,87;4,89;5;5,95;6,39;7,64;9,12;0,02;0,13;1,52;1,25;2,73;214,4;475,3;626,5;65013;14558;14225;111,6;126590,1;27,026;51,39;29,92;21,731;39,800;42,000;27,924;39,8;39,4;35,9;34,5;123,5496347;107,2;383,8991548;15,4;55,14969202;64,5;108,57;4,312761;357,6666;239,06;1,017542;90,05;98,72;3,46;16,71;821,4199;72,8;45,4;51,2;37,5;44,4;74,559;18,825
1\1\1971;41,9432;40,4674;39,8927;50,5461;35,7691;57,7836;20,5817;42,9567;26,1785;57,5572;37,9464;47,4574;68,1054;50,5;77,8115;3,66;4,96;3,36;13,51401248;18,31407156;12,40630654;57988;21594;605,2;3643;17280;10318;6962;49272;14205;3406,4;7556,4;3591;12878;51;0,758;78864;75471;5,9;10,5;2302;1626;1113;683;430;39,6;2,8;1643;1828;235;347;773;473;4,14;4,44;4,47;4,57;5,89;6,24;7,36;8,74;0,03;0,13;1,8;1,12;2,5;215,5;479,2;633;65545;14604;14240;112,3;126995,1;27,083;51,688;29,9;21,807;39,900;42,100;28,028;39,9;39,5;36;34,8;124,1615527;107,1;382,1178821;15,6;55,65862709;65,1;108,3;4,305334;358,0123;240,58;1,011828;93,49;102,22;3,32;17,43;849,04;74,4;47,9;55,4;39,8;47,4;75,935;18,225
2\1\1971;41,8632;40,5029;39,8379;50,5177;36,5791;57,1993;20,6962;42,7022;26,0196;57,5706;37,9645;47,6296;68,5691;60;77,6511;3,69;5;3,39;13,5856559;18,40874784;12,48113103;57928;21514;600,5;3633;17216;10269;6947;49291;14223;3407,9;7554,9;3599;12877;52;0,786;78700;75412;5,9;10,4;2178;1633;1068;620;448;39,4;2,8;1588;1741;235;319;742;445;3,72;3,7;3,78;3,89;5,56;6,11;7,08;8,39;0,08;0,19;2,41;0,97;2,28;217,4;483,5;641;66037;14819;14488;113,1;127700,1;27,161;51,876;29,936;21,898;39,900;42,200;28,129;40,1;39,7;36,1;35,9;127,6262931;109,9;390,6999893;15,6;55,4587792;64,6;108,05;4,298117;357,5387;241,78;1,007445;97,11;106,62;3,18;18,14;879,6899;75,9;54,8;62,8;44,2;48;76,237;19,391
3\1\1971;41,8179;40,384;39,7652;50,6618;36,6215;57,4065;20,4887;42,7837;26,1059;57,5823;37,8855;48,7605;68,7187;54,4;77,2933;3,71;5,03;3,39;13,61567821;18,46007046;12,44128009;57951;21491;598,9;3674;17154;10221;6933;49368;14229;3404,9;7569,4;3607;12908;52;0,773;78588;75232;6;10,6;2144;1637;1098;645;453;39,6;2,8;1759;1910;215;423;818;454;3,71;3,38;3,5;3,69;5;5,7;7,21;8,46;0,12;0,31;2,32;1,51;2,76;218,8;488,2;649,9;66378;14798;14479;113,5;128438,7;27,248;51,938;30,01;21,995;40,000;42,200;28,217;40,2;39,8;36,3;35,4;125,4562852;109,3;387,3551405;15,6;55,2858206;67;107,99;4,300335;357,5131;241,87;1,00637;99,6;109,59;3,1;18,73;901,29;75,9;51,2;56,2;45;51,2;76,334;18,834
4\1\1971;42,0527;40,5883;39,9101;51,0767;36,8584;57,9212;20,3664;43,0666;26,1398;58,747;38,0844;48,6905;68,9973;58,1;77,5028;3,73;5,07;3,41;13,63553281;18,53408883;12,46572839;58092;21552;599,2;3735;17149;10211;6938;49485;14265;3407,3;7600,5;3620;12945;52;0,777;78987;75413;5,9;10,9;2206;1575;1149;695;454;39,6;2,8;1745;1986;235;452;821;478;4,15;3,86;4,03;4,3;5,65;5,83;7,25;8,45;0,17;0,44;1,97;1,42;2,62;220;492,6;658,4;66731;14759;14606;113,6;129532,6;27,355;52,101;30,124;22,09;40,100;42,400;28,328;40,3;40;36,3;36;127,082745;109,7;387,2493646;15,6;55,06918949;70,8;108,05;4,298672;357,5004;241,79;1,007689;103,04;113,68;2,99;20,15;932,54;75,9;54,5;59,6;48,9;55,5;74,78;18,433
5\1\1971;42,2661;40,6183;39,9085;51,1209;37,431;57,6129;20,2268;43,5737;26,6902;58,9828;38,3409;49,0558;66,1509;58,9;77,8281;3,76;5,13;3,43;13,68815756;18,67559795;12,48680331;58277;21645;599,9;3750;17225;10263;6962;49602;14299;3419,5;7623,1;3632;12970;53;0,786;79139;75690;5,9;11,2;2229;1566;1173;665;508;39,6;2,9;1972;2049;270;389;877;513;4,63;4,14;4,36;5,04;6,28;6,39;7,53;8,62;0,22;0,9;2,25;1,14;2,23;222;497,7;666,7;67315;14982;14698;114,4;130198,9;27,469;52,228;30,236;22,202;40,300;42,600;28,452;40,5;40,1;36,5;36;126,5288908;108,8;382,3984254;15,6;54,829186;71,6;107,61;4,123201;357,4109;241,87;1,008695;101,64;112,41;3,04;19,85;925,49;75,9;54,2;57;49,4;55,1;74,732;17,866
6\1\1971;42,4434;40,7833;40,083;51,5003;37,7275;58,0306;20,3276;43,7696;26,5041;60,46;38,4373;49,1903;68,1338;55,4;77,8277;3,78;5,16;3,45;13,69912659;18,70039503;12,50317109;58245;21568;599;3759;17139;10212;6927;49685;14292;3403,5;7639,7;3652;13008;55;0,824;78757;75423;5,9;11,6;2180;1606;1167;626;541;39,6;2,9;1903;2026;254;409;884;479;4,91;4,75;4,97;5,64;6,53;6,52;7,64;8,75;0,22;0,89;1,77;1,12;2,23;223,5;501,7;673;67678;15057;14564;115,2;131029,1;27,593;52,34;30,376;22,315;40,500;42,800;28,564;40,6;40,3;36,7;36,2;126,7329506;108,1;378,4483966;15,6;54,61419969;78,1;107,84;4,09685;357,4109;241,87;1,021315;99,72;110,26;3,1;19,29;900,4299;76,7;53,8;57,9;47,9;59;74,53;20,669
7\1\1971;42,3202;41,2449;40,4604;52,2973;38,4339;58,8489;20,3608;42,7133;25,463;60,1955;38,5026;50,6965;68,1792;56,8;77,7642;3,8;5,19;3,46;13,7293157;18,75135487;12,50090324;58305;21564;580,3;3786;17126;10188;6938;49752;14316;3413,8;7669,2;3658;13011;54;0,795;79305;75919;6;11,5;2210;1549;1251;684;567;39,6;2,9;2069;2083;287;416;856;524;5,31;5,4;5,63;6,04;6,85;6,73;7,64;8,76;0,23;0,64;1,33;0,91;2,03;224,9;505,6;679,6;68155;15125;14302;115,6;132007,2;27,678;52,465;30,41;22,427;40,600;42,900;28,677;40,4;40,1;36,9;35,9;125,1874324;108,3;377,6545664;15,6;54,39899571;72,6;107,69;4,094501;357,3981;241,85;1,021325;99;109,09;3,13;18,95;887,8101;77,6;54,4;57,8;47,4;58,9;75,142;16,63
8\1\1971;42,0746;41,0062;40,325;51,6987;38,057;58,1351;20,671;42,462;24,7885;61,1517;38,0467;48,8636;69,3953;55,6;76,6511;3,82;5,23;3,48;13,76279003;18,84277273;12,53782966;58327;21570;597,7;3786;17115;10185;6930;49798;14341;3421,8;7696,8;3666;13041;55;0,794;79539;76144;6,1;11,5;2337;1568;1261;711;550;39,5;2,9;2004;2158;286;460;924;488;5,56;4,94;5,22;5,8;6,55;6,58;7,59;8,76;0,28;0,86;1,64;1,01;2,18;225,6;508,9;685,5;68413;15190;14380;116,8;133207,3;27,756;52,051;30,545;22,531;40,700;43,000;28,708;40,7;40,4;37,2;35,8;124,7039153;108,3;377,2467605;15,6;54,34025359;72,4;106,82;4,030145;355,7073;243,46;1,013479;97,24;107,26;3,18;18,56;875,3999;78,4;53,6;58,4;49,7;50,9;76,987;18,793
9\1\1971;42,7584;41,5937;40,765;52,1752;37,9933;58,9496;21,1463;43,2745;25,848;61,6536;38,8167;48,86;67,9182;59,3;78,0073;3,83;5,26;3,48;13,77945674;18,92426695;12,52023745;58552;21650;604,2;3820;17154;10204;6950;49970;14388;3437,2;7720,7;3679;13068;54;0,794;79689;76322;6;11,9;2301;1568;1239;676;563;39,4;2,8;1996;2041;245;452;880;464;5,55;4,69;4,97;5,41;6,14;6,14;7,44;8,59;0,28;0,72;1,45;1,3;2,45;226,5;512,5;692,5;68751;15423;14928;118,1;134535,8;27,795;51,712;30,608;22,603;40,800;43,000;28,747;40,7;40,3;37,2;35,7;124,1868717;107,4;373,6042022;15,6;54,26653216;52,3;104,88;3,981209;338,032;246,94;1,012997;99,4;109,85;3,09;18,71;901,22;78;55,1;61;48,9;40,2;76,023;20,191
10\1\1971;43,0784;42,0231;41,1913;52,8809;38,6819;59,6319;21,3532;43,4039;26,5744;62,2893;39,3936;50,9526;68,2813;60,8;78,9695;3,85;5,29;3,5;13,82902299;19,00143678;12,57183908;58527;21604;540,3;3867;17126;10189;6937;50038;14376;3446,3;7728;3690;13115;55;0,823;79918;76513;5,8;12,6;2222;1546;1268;677;591;39,6;2,9;2026;2128;236;462;916;514;5,2;4,46;4,6;4,91;5,93;5,93;7,39;8,48;0,14;0,45;1,47;1,46;2,55;227,2;515,4;698,4;68603;15211;14854;118,3;135613,2;27,84;51,681;30,655;22,658;40,900;43,100;28,795;40,7;40,4;37,1;36,4;126,4108352;106,7;370,5504428;15,6;54,17607223;51,7;103,76;3,975037;331,1039;249,06;1,004652;97,29;107,28;3,16;18,24;872,1499;77,6;55;61,4;50,9;38,1;76,222;18,117
11\1\1971;43,2613;42,2668;41,4126;53,3016;39,0675;60,0559;21,4507;43,4772;26,4621;62,262;39,5391;49,8721;68,4373;56,1;79,0643;3,85;5,3;3,49;13,80076711;18,99845862;12,51030577;58696;21684;544,5;3903;17166;10215;6951;50160;14401;3456,5;7729,3;3704;13148;56;0,804;80297;76887;6;12;2304;1629;1277;696;581;39,9;2,9;2079;2182;303;466;931;482;4,91;4,22;4,38;4,67;5,78;5,81;7,26;8,38;0,16;0,45;1,59;1,45;2,57;227,8;518,0;704,6;68894;15247;14864;118,5;137329;27,897;51,72;30,69;22,732;41,000;43,200;28,860;40,8;40,6;37,2;37;128,2051282;105,8;366,5973666;15,6;54,05405405;53,9;103,53;3,983429;328,7527;249,33;1,003946;92,78;102,21;3,31;17,46;822,1101;77,2;52,3;55,4;50,9;41,6;77,932;19,019
12\1\1971;43,7607;42,5068;41,5877;53,6605;39,2406;60,5219;21,571;44,3715;26,7547;63,0378;39,9062;49,3764;69,7936;63,9;79,6006;3,89;5,32;3,55;13,88888889;18,99457298;12,67495001;58918;21741;604;3867;17202;10249;6953;50367;14483;3467;7787,1;3716;13190;56;0,806;80471;77100;6;11,5;2320;1518;1283;700;583;39,7;3;2133;2295;320;477;981;517;4,14;4,01;4,23;4,6;5,69;5,93;7,25;8,38;0,22;0,59;1,92;1,32;2,45;228,3;520,6;710,3;69108;15230;15104;118,0;138684,8;28,008;51,904;30,821;22,82;41,100;43,300;28,956;41,1;40,9;37,4;37,2;128,4707833;106,7;368,4901229;15,6;53,87484459;65,1;104,19;3,903963;320,0102;252,66;0,9993304;99,17;109,67;3,1;18,31;869,8999;81,8;57,6;63,5;53,3;47,7;80,14;19,734
1\1\1972;44,8083;43,3323;42,3659;54,4656;40,3984;61,0564;22,2702;45,7537;27,9062;64,5572;40,9281;49,4245;70,3353;65,6;81,4208;3,93;5,39;3,57;13,97383018;19,16512587;12,69378467;59179;21865;602,5;3912;17283;10321;6962;50580;14545;3490,3;7891,7;3723;13266;59;0,871;80959;77593;5,8;12,1;2324;1489;1257;664;593;39,7;3;2238;2494;386;445;1034;629;3,5;3,38;3,66;4,28;5,59;5,95;7,19;8,23;0,28;0,9;2,57;1,24;2,28;230,1;524,7;717,7;69853;15369;15347;118,9;139568,5;28,124;52,165;30,936;22,918;41,200;43,500;29,083;41;40,7;37,5;37,8;129,9728364;110,3;379,2593611;15,4;52,9518963;79,3;100,56;3,892111;312,715;257,05;1,005925;103,3;114,12;2,96;19,03;904,6499;86,3;59,6;64,8;55,2;48,4;80,974;18,44
2\1\1972;45,2274;43,7155;42,6877;54,7651;40,5875;61,4195;22,5949;46,2166;28,2924;64,7798;41,2295;52,5405;72,078;67,7;81,8067;3,96;5,42;3,61;14,02415271;19,19467366;12,78464426;59354;21915;598,5;3888;17361;10383;6978;50737;14599;3498,9;7924,4;3730;13298;60;0,903;81108;77750;5,7;12,4;2111;1470;1292;641;651;39,9;3,2;2169;2390;276;467;1083;564;3,29;3,2;3,63;4,27;5,69;6,08;7,27;8,23;0,43;1,07;2,88;1,19;2,15;232,3;529,5;725,7;70368;15363;15331;120,1;140830,7;28,237;52,214;31,1;23,007;41,400;43,600;29,168;41,3;40,9;37,7;38,1;130,6226001;112,4;385,3538124;15,4;52,7975864;74,1;99,44;3,862495;305,1665;260,37;1,004742;105,24;116,86;2,92;19,4;914,3701;90,9;60,6;66;52,6;51,7;82,158;20,064
3\1\1972;45,5583;43,9406;42,843;54,7824;40,313;61,6514;22,8771;46,6839;28,6262;65,3821;41,5269;53,0325;72,294;63,5;82,1796;3,99;5,45;3,63;14,10891089;19,27157001;12,83592645;59616;22036;601,5;3921;17447;10449;6998;50909;14658;3518,8;7946,6;3740;13329;62;0,912;81573;78135;5,8;12,3;2303;1418;1232;600;632;39,9;3,2;2105;2334;307;409;1012;606;3,83;3,73;4,12;4,67;5,87;6,07;7,24;8,24;0,39;0,94;2,34;1,17;2,17;234,3;533,8;733,5;70820;15480;15382;121,5;142535,8;28,28;52,301;31,104;23,068;41,400;43,600;29,227;41,3;40,9;37,8;38,1;130,3589147;114,4;391,4188935;15,4;52,69100489;73,9;98,82;3,850004;302,5352;261,81;0,9984823;107,69;119,73;2,86;19,41;939,23;88;59,8;64,6;57,1;51,5;81,73;20,678
4\1\1972;46,0156;44,4078;43,4015;55,4223;41,4841;61,8677;23,2577;47,1237;29,0098;65,683;41,9896;52,54;71,5165;62,6;82,8738;4;5,49;3,65;14,120305;19,38011861;12,88477831;59805;22099;595,3;3931;17508;10497;7011;51064;14691;3529,9;7972,6;3753;13358;62;0,927;81655;78273;5,7;12,4;2229;1500;1203;530;673;39,9;3,5;2139;2249;281;433;1070;465;4,17;3,71;4,23;4,96;6,17;6,19;7,3;8,24;0,52;1,25;2,48;1,11;2,05;235,6;536,7;738,4;71031;15651;15534;123,1;143894;28,328;52,479;31,126;23,116;41,500;43,800;29,295;41,3;40,9;37,9;38,7;132,1044547;115,6;394,6065882;15,4;52,56869773;73,4;98,93;3,858025;303,5546;261,02;0,9957184;108,81;121,34;2,83;19,08;958,1599;85,1;59,3;63;55;52,3;82,298;19,993
5\1\1972;46,0301;44,3488;43,2563;55,1684;41,1151;61,717;23,3048;47,2382;29,258;65,8742;42,0678;51,7405;71,7622;65,7;82,8056;4,03;5,52;3,67;14,19613921;19,44483585;12,92799775;60051;22222;598,6;3957;17602;10568;7034;51245;14718;3541;7989,3;3765;13416;64;0,964;81887;78475;5,7;12,3;2192;1534;1168;588;580;39,8;3,4;2067;2221;297;481;997;446;4,27;3,69;4,12;4,64;5,85;6,13;7,3;8,23;0,43;0,95;2,44;1,17;2,1;235,9;538,6;743,4;71525;15739;15628;124,4;145621,2;28,388;52,526;31,189;23,175;41,600;43,900;29,355;41,5;41,1;38;39,3;133,8783853;119,2;406,0637029;15,4;52,46125021;71,4;98,75;3,860557;304,3769;261,24;0,9889241;107,65;120,16;2,88;18,66;948,22;82,2;61,4;66,9;56,1;53,1;82,728;22,129
6\1\1972;46,1635;44,5172;43,3339;55,1926;41,1307;61,7492;23,415;47,3267;29,2835;66,2495;42,2376;50,2631;70,6845;62,2;82,9139;4,03;5,5;3,68;14,17267452;19,34235977;12,94179708;60355;22282;600;3969;17641;10592;7049;51478;14779;3550,1;8019,4;3791;13405;64;0,964;82083;78681;5,7;12,4;2279;1489;1141;591;550;40;3,4;2183;2254;288;439;992;535;4,46;3,91;4,35;4,93;5,91;6,11;7,23;8,2;0,44;1,02;2,2;1,12;2,09;236,6;541,6;749,7;71817;15909;15809;125,1;147367,3;28,435;52,566;31,202;23,244;41,700;44,000;29,416;41,7;41,4;38;39,4;133,9407125;119,1;404,881697;15,4;52,35246125;70,2;98,51;3,799392;302,3889;256,91;0,9795087;108,01;120,84;2,87;18,58;943,4299;85,2;58,6;62,1;57,7;49,6;84,235;19,182
7\1\1972;46,1539;44,7623;43,5911;55,6272;42,0324;61,8237;23,4536;46,9884;29,0887;65,802;42,2647;50,4286;71,6918;65,3;82,7392;4,04;5,52;3,69;14,15705926;19,34330869;12,93058135;60227;22162;596,7;3939;17556;10521;7035;51547;14783;3544,2;8032,3;3790;13482;66;0,996;82230;78769;5,6;11,8;2248;1515;1154;635;519;39,9;3,4;2195;2252;325;441;1011;476;4,55;3,98;4,5;4,96;5,97;6,11;7,21;8,23;0,52;0,98;2,13;1,1;2,12;238,8;546,5;759,5;72173;15835;15597;126,3;148321,9;28,537;52,663;31,327;23,333;41,800;44,100;29,503;41,8;41,6;38,1;40;135,5794326;119,8;406,0604006;15,4;52,19808155;70,6;98,86;3,764918;301,0325;244,47;0,9839614;107,21;119,98;2,9;18,45;925,9199;88,3;60,1;64,7;61,7;46,7;81,933;22,228
8\1\1972;46,7672;45,2906;44,1167;56,2368;42,4001;62,5704;23,8984;47,7014;29,7021;66,2494;42,8099;51,1698;72,0865;63,2;83,5717;4,08;5,55;3,73;14,25476906;19,3906785;13,03193348;60607;22400;605,8;3983;17741;10699;7042;51737;14831;3557,5;8066,4;3801;13530;68;1,021;82578;78975;5,6;11,8;2285;1541;1156;619;537;40;3,4;2263;2382;349;461;1029;543;4,8;4,02;4,55;4,98;6,02;6,21;7,19;8,19;0,53;0,96;2,19;0,98;1,98;240,9;552,1;768,7;72623;16010;15623;127,6;149806,2;28,622;52,784;31,409;23,413;41,900;44,300;29,563;42;41,7;38,2;40,3;136,3190475;121;409,295403;15,6;52,76866353;70,1;98,92;3,780861;301,1685;245,02;0,9824244;111,01;124,35;2,8;19,09;958,3401;91,3;61,7;65,1;62,9;55,5;86,434;21,268
9\1\1972;47,1036;45,5106;44,3692;56,4971;42,833;62,6938;24,0555;48,1833;30,0643;66,6347;43,1219;51,6151;73,1403;68,3;83,9388;4,11;5,59;3,75;14,29465776;19,44212577;13,04257095;60693;22456;611,5;4000;17774;10722;7052;51812;14848;3565,7;8073,1;3810;13575;69;1,055;82543;78975;5,5;12,1;2353;1390;1131;583;548;40;3,6;2393;2481;351;472;1139;520;4,87;4,66;5,13;5,52;6,25;6,55;7,22;8,09;0,47;0,86;1,89;0,67;1,54;243,2;557,4;778,3;72984;16000;15459;128,8;151245,5;28,752;52,909;31,63;23,485;42,100;44,300;29,661;42,2;42;38,5;40,5;136,5429352;122,7;413,6745221;15,6;52,59431577;67,8;99,04;3,787448;301,1232;244,1;0,9829942;109,39;122,33;2,83;18,46;950,5801;90,1;65,1;69,3;65,5;56,8;88,788;23,135
10\1\1972;47,7219;46,2259;45,0603;57,3475;43,8195;63,3969;24,4847;48,663;30,5462;67,47;43,7357;53,7691;73,6489;66,9;84,8818;4,14;5,64;3,78;14,38149165;19,59217702;13,13092715;61066;22613;611,3;4038;17893;10819;7074;52059;14920;3575,2;8124,5;3821;13606;72;1,095;82616;78982;5,6;11,7;2351;1472;1123;601;522;40,1;3,6;2354;2485;373;473;1135;505;5,04;4,74;5,13;5,52;6,18;6,48;7,21;8,06;0,39;0,78;1,74;0,73;1,58;245;561,6;786,9;73644;16193;15637;130,4;152835;28,787;52,537;31,71;23,548;42,200;44,400;29,678;42;41,9;38,7;40,9;137,8125211;124,5;419,5026619;15,6;52,56418896;72;99,35;3,797661;301,0144;239,48;0,982743;109,56;122,39;2,82;18,36;944,1001;89;67;70,8;73;63;88,841;22,367
11\1\1972;48,2855;46,6675;45,5667;57,757;44,8291;63,3583;24,9361;49,3731;31,1144;68,0914;44,2921;54,3568;71,8443;72,7;85,6997;4,15;5,68;3,79;14,37328992;19,67235826;13,12645032;61322;22688;608,9;4002;18005;10912;7093;52277;14993;3589,9;8170,1;3832;13643;73;1,176;82990;79473;5,3;11,4;2191;1386;1040;570;470;40;3,7;2234;2421;335;418;1121;547;5,06;4,78;5,09;5,27;6,12;6,28;7,12;7,99;0,31;0,49;1,5;0,84;1,71;246,4;565,5;793,9;74370;16441;15833;132,6;154699,8;28,873;52,559;31,818;23,628;42,400;44,400;29,751;42,3;42,1;39;42;141,1717253;126,2;424,1874223;15,6;52,43521226;74,5;99,46;3,795643;300,9872;235,05;0,9873715;115,05;128,29;2,73;19,23;1001,19;87,8;69,9;73;74,5;63,4;90,874;22,874
12\1\1972;48,8159;46,9877;45,9718;58,2375;45,7277;63,5166;25,1654;50,1639;31,9225;68,5862;44,8713;53,6289;71,0353;71,8;86,55;4,18;5,75;3,83;14,42971555;19,84948909;13,22148578;61586;22772;604,7;3937;18158;11036;7122;52498;15071;3605,1;8224,1;3842;13684;80;1,305;83400;79804;5,2;11,4;2003;1460;1006;551;455;39,7;3,7;2419;2366;395;345;1095;531;5,33;5,07;5,3;5,52;6,16;6,36;7,08;7,93;0,23;0,45;1,29;0,72;1,57;249,2;570,7;802,3;75167;16645;15595;133,6;156809,9;28,968;52,668;31,924;23,715;42,500;44,600;29,848;42,7;42,6;39,6;43,8;146,7435004;130,8;438,2203163;15,6;52,26480836;78;99,97;3,769886;301,2411;234,48;0,9967506;117,5;131,08;2,7;19,11;1020,32;83;70,5;71,9;80,7;62,5;93,5;23,302
1\1\1973;49,1804;47,2954;46,2379;58,0902;45,5428;63,406;25,7769;50,5927;32,4658;68,5332;45,2191;54,1754;70,4932;71,1;86,947;4,23;5,85;3,86;14,55609085;20,13076394;13,28286304;61930;22955;601,2;4004;18276;11130;7146;52665;15128;3621,3;8255,3;3852;13690;82;1,405;83161;79705;4,9;11;2035;1344;947;537;410;39,7;3,8;2271;2481;325;590;1072;494;5,94;5,41;5,62;5,89;6,34;6,46;7,15;7,9;0,21;0,48;1,05;0,69;1,44;251,5;574,1;810,3;75925;16708;15548;136,8;159913,8;29,06;52,69;32,128;23,742;42,700;44,600;29,868;43;43;39,8;45;150,6629168;134,4;449,9799116;15,6;52,22981117;82,9;99,92;3,728561;301,7866;235,62;0,9992905;118,42;132,55;2,69;19,23;1026,82;78,1;72,1;73,8;83,7;61;95,582;23,481
2\1\1973;49,9111;47,971;46,9101;58,8315;46,3705;64,0442;26,285;51,379;33,1238;69,6039;45,9703;53,624;69,252;68,5;88,1075;4,22;5,77;3,87;14,44710716;19,75350907;13,24888737;62306;23160;604;4071;18410;11239;7171;52857;15188;3645,7;8280,8;3874;13711;82;1,365;83912;80497;5;10,5;2259;1263;894;522;372;40,1;3,9;2226;2289;313;534;1004;438;6,58;5,6;5,83;6,19;6,6;6,64;7,22;7,97;0,23;0,59;1,04;0,58;1,33;252,2;575,2;814,1;76160;16714;15120;142,3;162096,1;29,21;52,852;32,39;23,817;43,000;44,800;29,952;43,5;43,5;40,4;47,1;157,2516026;143;477,4305556;15,6;52,08333333;87,8;95,65;3,409943;277,4618;242,75;0,9956193;114,16;127,87;2,8;18,53;974,04;73,3;69,6;69;85,2;63,6;97,292;24,873
